_id.dl_date,_id.dl_pt,_id.dl_cl,dl_count
51,"Cash","Vintage Desi",1.0
51,"Cash","adda52",2.0
51,"Cash","cardekho",8.0
51,"Cash","freshersworld",11.0
51,"Cash","getitfreeads",11.0
51,"Cash","jetairways",43.0
51,"Cash","pokabunga",1.0
51,"Cash","stiffcollar",2.0
51,"Cash","thinkvidya",7.0
51,"Cash","toteteca",1.0
51,"Cash","travelguru",15.0
51,"Pickup","20Dresses",1.0
51,"Pickup","BabyOye",1.0
51,"Pickup","Bagittoday",19.0
51,"Pickup","Chumbak",1.0
51,"Pickup","DFS -  Ace Turtle Services Pvt Ltd (Flying Machine)",4.0
51,"Pickup","DFS - Android Info Solution Pvt Ltd",1.0
51,"Pickup","DFS - NV Enterprises",1.0
51,"Pickup","DFS - Nexxbase Marketing Pvt Ltd",1.0
51,"Pickup","DFS - ShinyStar",1.0
51,"Pickup","DFS - Stylonclick",1.0
51,"Pickup","DFS - TOLEXO ONLINE PVT LTD",3.0
51,"Pickup","DFS - The Yellow Door Store",2.0
51,"Pickup","Faballey",7.0
51,"Pickup","Flipkart",203.0
51,"Pickup","Indiarush",21.0
51,"Pickup","Jabong",22.0
51,"Pickup","LimeRoad",187.0
51,"Pickup","My nutra mart",1.0
51,"Pickup","Myntra",843.0
51,"Pickup","Nykaa",1.0
51,"Pickup","Paramexports",1.0
51,"Pickup","Paytm",100.0
51,"Pickup","ShoppersStop",1.0
51,"Pickup","Snapdeal RL",1377.0
51,"Pickup","StyleTag",2.0
51,"Pickup","Voylla",7.0
51,"Pickup","Zovi",22.0
51,"Pickup","tennishub",1.0
51,"Pre-paid","99Prints",20.0
51,"Pre-paid","99labels",2.0
51,"Pre-paid","9rasa",1.0
51,"Pre-paid","Alix Retail",69.0
51,"Pre-paid","Amazon India - ALEKIP TRADELINK PVT. LTD.",16.0
51,"Pre-paid","Amazon India - Cinderella",1.0
51,"Pre-paid","Amazon India - Fos Designs & Services Pvt Ltd",1.0
51,"Pre-paid","Amazon India - HappyHealth",5.0
51,"Pre-paid","Amazon India - Nature Online Corporation",15.0
51,"Pre-paid","Amazon India - Rahul Industrial Enterprises",1.0
51,"Pre-paid","Amazon India - S.K. ENTERPRISES",1.0
51,"Pre-paid","Amazon India - SWATI GRAMODYOG SEWA SANSTHAN",8.0
51,"Pre-paid","Amazon India - The House of Tara",4.0
51,"Pre-paid","Amazon India - The Tupper Store",7.0
51,"Pre-paid","Amazon India - VNV Enterprises Pvt. Ltd",9.0
51,"Pre-paid","Amazon India - oriflame",18.0
51,"Pre-paid","AyurShop",1.0
51,"Pre-paid","BODYMART",1.0
51,"Pre-paid","BabyOye",30.0
51,"Pre-paid","Bagittoday",20.0
51,"Pre-paid","Bauble love",2.0
51,"Pre-paid","Besiva",1.0
51,"Pre-paid","Bewakoof",200.0
51,"Pre-paid","BikeStuff",1.0
51,"Pre-paid","Body Shop",1.0
51,"Pre-paid","BoerandFitch",5.0
51,"Pre-paid","Boxbeat Technologies Private Limited",2.0
51,"Pre-paid","Brand Trendz",1.0
51,"Pre-paid","Buttercups",1.0
51,"Pre-paid","Byoke Overseas Pvt. Ltd.",21.0
51,"Pre-paid","COMMA BOOK INDIA PVT. LTD",7.0
51,"Pre-paid","CREATIVE I",2.0
51,"Pre-paid","Chase Lifestyle Pvt. Ltd",3.0
51,"Pre-paid","Clickingo",1.0
51,"Pre-paid","Coke2HomeMumbai",2.0
51,"Pre-paid","Coke2homeCHENNAI",2.0
51,"Pre-paid","Colorbar Cosmetics",1.0
