_id.dl_date,_id.dl_cn,_id.dl_cnc,dl_count
33,"CCU_Manicktala","Kolkata",81.0
33,"CCU_North","Kolkata",176.0
33,"CCU_SaltLake","Kolkata",242.0
33,"CCU_South","Kolkata",215.0
33,"CCU_Taratala","Kolkata",128.0
33,"CCU_Tollygunje","Kolkata",139.0
33,"CCU_Topsia","Kolkata",95.0
33,"CJB","Coimbatore",254.0
33,"Central Goa","Goa",149.0
33,"Chandigarh","Chandigarh",486.0
33,"Chandigarh_Kurali_DC","Chandigarh",182.0
33,"Chandigarh_Mohali","Chandigarh",107.0
33,"Chandigarh_Panchkula","Chandigarh",124.0
33,"Chennai_Arumbakkam","Chennai",137.0
33,"Chennai_AshokNagar_DC","Chennai",222.0
33,"Chennai_Avadi","Chennai",135.0
33,"Chennai_Ayanavaram","Chennai",204.0
33,"Chennai_Egmore_DC","Chennai",59.0
33,"Chennai_Madhavaram_DC","Chennai",90.0
33,"Chennai_Mylapore","Chennai",187.0
33,"Chennai_Perungudi_DPC","Chennai",1.0
33,"Chennai_Poonamallee","Chennai",117.0
33,"Chennai_Porur_DC","Chennai",171.0
33,"Chennai_Potheri","Chennai",323.0
33,"Chennai_Redhills","Chennai",39.0
33,"Chennai_Royapuram","Chennai",191.0
33,"Chennai_Sholinganallur_Dc","Chennai",329.0
33,"Chennai_Sriperumbudur_Dc","Chennai",72.0
33,"Chennai_Thiruvanmiyur_DC","Chennai",123.0
33,"Chennai_Vandalur_Dc","Chennai",155.0
33,"Chromepet","Chennai",216.0
33,"Cjb_Kovaipudur_Dc","Coimbatore",95.0
33,"Cjb_West_Dc","Coimbatore",169.0
33,"Cuddalore_DC",,1.0
33,"Cuddalore_DC","Cuddalore",149.0
33,"Darbhanga","Darbhanga",196.0
33,"Dehradun","Dehradun",344.0
33,"Del_B_RPC","Delhi NCR",10.0
33,"Delhi Moti Nagar","Delhi NCR",325.0
33,"Delhi_Badarpur","Delhi NCR",191.0
33,"Delhi_Barwala","Delhi NCR",47.0
33,"Delhi_Bhajanpura","Delhi NCR",92.0
33,"Delhi_Bhogal","Delhi NCR",383.0
33,"Delhi_Central","Delhi NCR",350.0
33,"Delhi_Govindpura","Delhi NCR",116.0
33,"Delhi_Lajwanti","Delhi NCR",193.0
33,"Delhi_MalviyaNagar","Delhi NCR",205.0
33,"Delhi_MayurVihar","Delhi NCR",161.0
33,"Delhi_Mohammadpur","Delhi NCR",74.0
33,"Delhi_Moti Bagh","Delhi NCR",49.0
33,"Delhi_Munirka","Delhi NCR",54.0
33,"Delhi_Nangloi","Delhi NCR",102.0
33,"Delhi_Naraina_DC","Delhi NCR",174.0
33,"Delhi_Palam","Delhi NCR",405.0
33,"Delhi_PunjabiBagh","Delhi NCR",128.0
33,"Delhi_Shahdara","Delhi NCR",122.0
33,"Delhi_Timarpur","Delhi NCR",289.0
33,"Delhi_mukherjeenagar","Delhi NCR",226.0
33,"Delhi_shahpurJat","Delhi NCR",461.0
33,"Dhanbad_Hirapur","Dhanbad",202.0
33,"Dharwad_Dc","Hubli",108.0
33,"Durg_Bhilai_DC","Durg-Bhilainagar",536.0
33,"East Delhi","Delhi NCR",252.0
33,"Erode","Erode",249.0
33,"FBD_Balabhgarh_DPC","Delhi NCR",4.0
33,"Faridabad","Delhi NCR",306.0
33,"Faridabad_Old","Delhi NCR",167.0
33,"GGN_DPC","Delhi NCR",424.0
33,"GZB_Mohan_Nagar_DPC","Delhi NCR",47.0
33,"Ghaziabad","Delhi NCR",1.0
33,"Ghaziabad_Nehru Nagar","Delhi NCR",171.0
33,"Ghaziabad_Patel Nagar","Delhi NCR",15.0
33,"Ghaziabad_Pratap Vihar","Delhi NCR",30.0
33,"Ghaziabad_Vasundhra","Delhi NCR",384.0
33,"Goa_Margao_Dc","Goa",338.0
33,"Goa_Ponda_Dc","Goa",74.0
33,"Gorakhpur","Gorakhpur",463.0
33,"Greater_Noida","Delhi NCR",202.0
33,"Gulbarga","Gulbarga",304.0
33,"Guntur_DC","Guntur",258.0
33,"Gurgaon","Delhi NCR",203.0
33,"Gurgaon_Dundahera","Delhi NCR",103.0
33,"Gurgaon_Kadipur","Delhi NCR",32.0
33,"Gurgaon_Manesar","Delhi NCR",15.0
33,"Gurgaon_NewColony Mor","Delhi NCR",57.0
33,"Gurgaon_Palam Vihar","Delhi NCR",75.0
33,"Gurgaon_Wazirabad","Delhi NCR",220.0
33,"Guwahati_Chandmari","Guwahati",389.0
33,"Guwahati_East","Guwahati",222.0
33,"Guwahati_Jalukbari","Guwahati",321.0
33,"Guwahati_North","Guwahati",492.0
33,"Guwahati_Sixmile","Guwahati",345.0
33,"Guwahati_South","Guwahati",416.0
33,"Guwahati_West","Guwahati",404.0
33,"Gwalior_DC","Gwalior",256.0
33,"Haridwar","Haridwar",337.0
33,"Hathras","Hathras",48.0
33,"Hisar","Hisar",214.0
33,"Hospet","Hospet",142.0
33,"Hosur_Dc","Hosur",180.0
33,"Howrah_Shibpur","Howrah",80.0
33,"Hubli_Dc","Hubli",151.0
33,"Hyd-Ecil","Hyderabad",214.0
33,"Hyd_Abids_Dc","Hyderabad",106.0
33,"Hyd_Attapur_Dc","Hyderabad",131.0
33,"Hyd_Balanagar","Hyderabad",63.0
33,"Hyd_Banjarahills_DC","Hyderabad",132.0
33,"Hyd_BkGuda_Dc","Hyderabad",155.0
33,"Hyd_Chandanagar_Dc","Hyderabad",115.0
33,"Hyd_East","Hyderabad",129.0
33,"Hyd_Gachibowli","Hyderabad",162.0
33,"Hyd_Jeedimetla_Dc","Hyderabad",110.0
33,"Hyd_Kavadiguda_Dc","Hyderabad",109.0
33,"Hyd_Kavadiguda_PC","Hyderabad",1.0
33,"Hyd_LB-Nagar_Dc","Hyderabad",175.0
33,"Hyd_Madhapur","Hyderabad",193.0
33,"Hyd_Miyapur_Dc","Hyderabad",109.0
33,"Hyd_North","Hyderabad",171.0
33,"Hyd_Sayeedabad_Dc","Hyderabad",236.0
33,"Hyd_South","Hyderabad",5.0
33,"Hyd_Tarnaka_Dc","Hyderabad",75.0
33,"Hyd_Tolichowki_Dc","Hyderabad",238.0
33,"Hyd_Trimulgherry_Dc","Hyderabad",174.0
33,"Hyd_Uppal_Dc","Hyderabad",128.0
33,"Indore Palasia","Indore",96.0
33,"Indore_Las ",,1.0
33,"Indore_Marimata","Indore",68.0
33,"Indore_New Palasia","Indore",278.0
33,"Indore_Rajendra nagar","Indore",123.0
33,"Jabalpur","Jabalpur",346.0
