_id.dl_date,_id.dl_oc,_id.dl_occ,dl_count
34,"Lucknow_Aliganj (Uttar Pradesh)","Lucknow",38.0
34,"Lucknow_Gomti Nagar (Uttar Pradesh)","Lucknow",20.0
34,"Lucknow_Indira Nagar (Uttar Pradesh)","Lucknow",9.0
34,"Lucknow_Vishnu Lok (Uttar Pradesh)","Lucknow",361.0
34,"Ludhiana_DC (Punjab)","Ludhiana",940.0
34,"Ludhiana_Dugri (Punjab)","Ludhiana",134.0
34,"Madurai (Tamil Nadu)","Madurai",79.0
34,"Mangalore (Karnataka)","Mangalore",5.0
34,"Meerut (Uttar Pradesh)","Meerut",340.0
34,"Mehedipatnam (Andhra Pradesh)","Hyderabad",33.0
34,"Moradabad_DC (Uttar Pradesh)","Bareilly",257.0
34,"Mumbai Borivali (Maharashtra)","Mumbai",1.0
34,"Mumbai Chandivali (Maharashtra)","Mumbai",2.0
34,"Mumbai Hub (Maharashtra)","Mumbai",2.0
34,"Mumbai_Andheri_PC (Maharashtra)","Mumbai",7493.0
34,"Mumbai_CottonGreen_PC (Maharashtra)","Mumbai",1.0
34,"Mysore (Karnataka)","Mysore",19.0
34,"Nagpur_Bajajnagar_Dc (Maharashtra)","Nagpur",163.0
34,"Nanded_Dc (Maharashtra)","Nanded",7.0
34,"Nashik Road (Maharashtra)","Nashik",7.0
34,"North BLR (Karnataka)","Bangalore",13.0
34,"North Delhi_PC (Delhi)","Delhi NCR",43.0
34,"Panaji Goa (Goa)","Goa",2.0
34,"Panipat_PC (Haryana)","Panipat",361.0
34,"Patiala (Punjab)","Patiala",445.0
34,"Pondicherry (Pondicherry)","Pondicherry",130.0
34,"Pune Hub (Maharashtra)","Pune",685.0
34,"RS.Davanagere (Karnataka)","Davangere",12.0
34,"Raipur_DC (Chhattisgarh)","Raipur",291.0
34,"Raipur_Sunder Nagar_DC (Chhattisgarh)","Raipur",229.0
34,"Rajkot (Gujarat)","Rajkot",461.0
34,"Ranchi_1 (Jharkhand)","Ranchi",57.0
34,"Rohtak (Haryana)","Rohtak",131.0
34,"Rourkela (Orissa)","Rourkela",1.0
34,"Rudrapur (Uttarakhand)","Rudrapur",150.0
34,"Salem (Tamil Nadu)","Salem",13.0
34,"Shillong (Meghalaya)","Shillong",1.0
34,"Silvassa_DC (Gujarat)","Silvassa",8.0
34,"Solapur_DC (Maharashtra)","Solapur",5.0
34,"Sonipat (Haryana)","Sonipat",58.0
34,"StarCJ_BLR (Karnataka)","Bangalore",331.0
34,"Surat_Magob_Dc (Gujarat)","Surat",392.0
34,"Surat_Pc (Gujarat)","Surat",1381.0
34,"Tiruchi (Tamil Nadu)","Tiruchi",9.0
34,"Tirupati (Andhra Pradesh)","Tirupati",5.0
34,"Tirupur (Tamil Nadu)","Tirupur",408.0
34,"Udaipur_DC (Rajasthan)","Udaipur",61.0
34,"Udupi (Karnataka)","Mangalore",2.0
34,"Ujjain (Madhya Pradesh)","Ujjain",1.0
